model,mode,mean,std
xl,fwd_only,0.28960940400138496,0.002573318648793848
ten_b,fwd_only,0.9137065288960002,0.005506685006217794
large,fwd_only,0.09663845300674438,0.0008689787705586811
medium,fwd_only,0.04917305010021664,0.00042691534129914264
small,fwd_only,0.014705934002995491,0.0003621076303082435
large,fwd_bwd_optim,0.325757953201537,0.0005378433670247105
xl,fwd_bwd_optim,0.9161782457958907,0.0049124926661607915
small,fwd_bwd_optim,0.050171388499438765,0.0001413003350943034
medium,fwd_bwd_optim,0.14259224960114808,0.0010622414402544698
small,fwd_bwd_optim,0.05010643888963386,0.00028897489068467456
