d_model,seq_len,fwd_time,bwd_time,memory
16,256,0.00013342105070478282,0.0008854780293768272,22176256
16,1024,0.00016403889065259137,0.0006718415403156542,87917056
16,4096,0.0019430556405859534,0.004048901530040894,1105854976
16,8192,0.008076273089682218,0.015057459169620415,4342153728
16,16384,0.030598747229523725,0.05735611724856426,17257202176
16,32768,OOM,OOM,OOM
32,256,0.00012186536871013232,0.0006380138295935467,23093760
32,1024,0.00017210980091476814,0.000693938300391892,91587072
32,4096,0.002089468400372425,0.004143469860428013,1120535040
32,8192,0.008465905850607669,0.015385584740142804,4371513856
32,16384,0.032405910469096855,0.058897752889897674,17315922432
32,32768,OOM,OOM,OOM
64,256,0.00012522529083071278,0.0006457947702438105,24928768
64,1024,0.00018830997942131944,0.0006012828409438953,98927104
64,4096,0.002410150560172042,0.0049501740993582646,1149895168
64,8192,0.009645819660654524,0.017643419960222673,4430234112
64,16384,0.03825891832035268,0.06874446187081049,17433362944
64,32768,OOM,OOM,OOM
128,256,0.00012238321898621506,0.0006694196308671962,28598784
128,1024,0.00023892708981293253,0.0006974340509623289,113607168
128,4096,0.0030670659099996554,0.005854153100808617,1208615424
128,8192,0.012539058480033418,0.02246230479882797,4547674624
128,16384,0.04800860960036516,0.08532365984006901,17668243968
128,32768,OOM,OOM,OOM
